DD,MM,YYYY,Type,DocRef,CustomerID,ProductID,Quantity,Amount,Cost
1,9,2015,Cash On Delivery,121263,CASH,45022,6,208.62,137.92
1,9,2015,Cash On Delivery,121264,CASH,43953,2,9,5.87
1,9,2015,Cash On Delivery,121265,CASH,45935,100,829.8,587.79
2,9,2015,Cash On Delivery,121266,CASH,44115,20,30,15.18
2,9,2015,Cash On Delivery,121267,CASH,44886,100,380,146.97
2,9,2015,Cash On Delivery,121268,CASH,43899,1,210.56,131.29
2,9,2015,Cash On Delivery,121269,CASH,43501,1,80,30.7
3,9,2015,Cash On Delivery,121270,CASH,10458,1,107,55.9
3,9,2015,Cash On Delivery,121271,CASH,45315,3,15,7.74
3,9,2015,Cash On Delivery,121272,CASH,43321,5,40,9.89
3,9,2015,Cash On Delivery,121273,CASH,40724,4,22,11.38
5,9,2015,Cash On Delivery,121274,CASH,40034,1,18,5.66
5,9,2015,Cash On Delivery,121274,CASH,45534,1,125,41.64
7,9,2015,Cash On Delivery,121275,CASH,10399,2,100,52.71
7,9,2015,Cash On Delivery,121275,CASH,10072,300,120,22.52
7,9,2015,Cash On Delivery,121275,CASH,45677,2,160,113.07
7,9,2015,Cash On Delivery,121276,CASH,44076,1,75,37.16
7,9,2015,Cash On Delivery,121276,CASH,46641,1,130,91.81
8,9,2015,Cash On Delivery,121277,CASH,30262,120,666.9,437.06
9,9,2015,Cash On Delivery,121278,CASH,44286,30,330,157.8
9,9,2015,Cash On Delivery,121279,CASH,46387,3,6,2.21
9,9,2015,Cash On Delivery,121279,CASH,10224,0,15,8.53
9,9,2015,Cash On Delivery,121279,CASH,10022,3,27,11.07
9,9,2015,Cash On Delivery,121279,CASH,44643,0,29.9,12.25
9,9,2015,Cash On Delivery,121279,CASH,46273,0,120,100.88
9,9,2015,Cash On Delivery,121280,CASH,46369,50,150,70.22
16,9,2015,Cash On Delivery,121281,CASH,10458,3,375,167.69
16,9,2015,Cash On Delivery,121282,CASH,45154,5,18,14.9
16,9,2015,Cash On Delivery,121282,CASH,43279,2,25,13.8
16,9,2015,Cash On Delivery,121282,CASH,44845,1,55,49.87
16,9,2015,Cash On Delivery,121282,CASH,44241,1,75,45.67
16,9,2015,Cash On Delivery,121282,CASH,40195,1,147,66.53
17,9,2015,Cash On Delivery,121283,CASH,30262,30,171.2,107.23
18,9,2015,Cash On Delivery,121284,CASH,43953,2,12.5,5.87
18,9,2015,Cash On Delivery,121284,CASH,45910,1,430,251.3
19,9,2015,Cash On Delivery,121285,CASH,45540,1,135,61.56
21,9,2015,Cash On Delivery,121286,CASH,30262,120,663.9,438.57
21,9,2015,Cash On Delivery,121287,CASH,10380,1,10,5.88
21,9,2015,Cash On Delivery,121288,CASH,10102,2,32,17.94
22,9,2015,Cash On Delivery,121290,CASH,44115,2,5,1.68
22,9,2015,Cash On Delivery,121290,CASH,10102,2,30,17.94
23,9,2015,Cash On Delivery,121291,CASH,44169,50,975,610.08
24,9,2015,Cash On Delivery,121292,CASH,44643,0,19.5,7.99
24,9,2015,Cash On Delivery,121292,CASH,45315,3,19.5,7.74
24,9,2015,Cash On Delivery,121292,CASH,45444,3,19.5,8.9
24,9,2015,Cash On Delivery,121292,CASH,44241,1,75,45.67
1,10,2015,Cash On Delivery,121293,CASH,46273,0,10,6.73
1,10,2015,Cash On Delivery,121294,CASH,45543,1,180,67.11
1,10,2015,Cash On Delivery,121295,CASH,45535,8,600,315.47
1,10,2015,Cash On Delivery,121296,CASH,40329,1,1.2,1
1,10,2015,Cash On Delivery,121296,CASH,43698,2,10,6.58
1,10,2015,Cash On Delivery,121296,CASH,10025,1,12,4.41
2,10,2015,Cash On Delivery,121297,CASH,10080,2,50,31.7
2,10,2015,Cash On Delivery,121297,CASH,46686,1,295,152.75
2,10,2015,Cash On Delivery,121298,CASH,45928,14,268.8,242.62
2,10,2015,Cash On Delivery,121298,CASH,45927,24,300.8,202.1
8,10,2015,Cash On Delivery,121299,CASH,10065,35,525,390.78
8,10,2015,Cash On Delivery,121300,CASH,10211,2,3,1.49
8,10,2015,Cash On Delivery,121300,CASH,30191,1,12,7.75
8,10,2015,Cash On Delivery,121300,CASH,10625,1,12,3.72
8,10,2015,Cash On Delivery,121300,CASH,40931,1,75,46.39
8,10,2015,Cash On Delivery,121300,CASH,10252,1,90,40.81
8,10,2015,Cash On Delivery,121300,CASH,44278,20,254,171
9,10,2015,Cash On Delivery,121301,CASH,45682,8,1000,581.97
10,10,2015,Cash On Delivery,121302,CASH,40356,50,250,181.68
10,10,2015,Cash On Delivery,121303,CASH,10102,1,20,8.97
12,10,2015,Cash On Delivery,121304,CASH,46359,1,310,165
12,10,2015,Cash On Delivery,121305,CASH,41056,1,50,34.04
12,10,2015,Cash On Delivery,121306,CASH,30262,120,652.5,440.24
12,10,2015,Cash On Delivery,121307,CASH,30262,120,691.52,437.4
14,10,2015,Cash On Delivery,121308,CASH,45933,10,365.44,242.8
14,10,2015,Cash On Delivery,121308,CASH,43837,12,554.1,371.28
14,10,2015,Cash On Delivery,121308,CASH,30262,210,1160.1,774.22
16,10,2015,Cash On Delivery,121309,CASH,45315,3,30,7.74
16,10,2015,Cash On Delivery,121309,CASH,43279,2,30,13.8
16,10,2015,Cash On Delivery,121309,CASH,10102,2,34,17.94
16,10,2015,Cash On Delivery,121309,CASH,44895,1,40,19.88
16,10,2015,Cash On Delivery,121309,CASH,30262,10,57.6,36.58
19,10,2015,Cash On Delivery,121310,CASH,46543,5,1400,541.93
20,10,2015,Cash On Delivery,121311,CASH,30190,1,15,9.04
20,10,2015,Cash On Delivery,121311,CASH,45315,2,20,5.16
20,10,2015,Cash On Delivery,121312,CASH,45624,40,120,57.35
2,1,2014,Cash On Delivery,921680,CASH,44286,30,330,153.18
2,1,2014,Cash On Delivery,921681,CASH,10394,28,852.8,325.55
2,1,2014,Cash On Delivery,921682,CASH,45443,2,14,5.98
2,1,2014,Cash On Delivery,921682,CASH,40861,6,69.6,35.9
2,1,2014,Cash On Delivery,921683,CASH,44494,400,6880,4894.23
7,1,2014,Cash On Delivery,921684,CASH,44895,1,34.5,18.94
7,1,2014,Cash On Delivery,921684,CASH,44239,1,49,29.9
7,1,2014,Cash On Delivery,921684,CASH,44240,1,59,33.97
7,1,2014,Cash On Delivery,921684,CASH,40931,1,63,41.43
7,1,2014,Cash On Delivery,921684,CASH,44237,2,80,44.82
7,1,2014,Cash On Delivery,921684,CASH,44238,2,86,52.29
7,1,2014,Cash On Delivery,921685,CASH,45540,5,750,272.06
8,1,2014,Cash On Delivery,921686,CASH,40356,60,300,203.33
9,1,2014,Cash On Delivery,921687,CASH,30262,210,1224.96,838.3
9,1,2014,Cash On Delivery,921688,CASH,45537,1,120,28.89
10,1,2014,Cash On Delivery,921689,CASH,40070,1,40,11.13
15,1,2014,Cash On Delivery,921690,CASH,44895,1,37,18.94
15,1,2014,Cash On Delivery,921691,CASH,10025,6,72,20.97
16,1,2014,Cash On Delivery,921692,CASH,45537,1,140,28.89
17,1,2014,Cash On Delivery,921693,CASH,10025,1,13,3.5
18,1,2014,Cash On Delivery,921694,CASH,45444,1,7,2.97
18,1,2014,Cash On Delivery,921694,CASH,43621,10,298,228.5
18,1,2014,Cash On Delivery,921695,CASH,10232,1,210,77.26
20,1,2014,Cash On Delivery,921696,CASH,10269,1,162.5,117.2
21,1,2014,Cash On Delivery,921697,CASH,40931,1,63.05,41.43
24,1,2014,Cash On Delivery,921698,CASH,45821,2,68,43.23
24,1,2014,Cash On Delivery,921698,CASH,30244,2,82,51.32
24,1,2014,Cash On Delivery,921698,CASH,44239,2,86,59.81
24,1,2014,Cash On Delivery,921698,CASH,40913,2,90,59.68
24,1,2014,Cash On Delivery,921698,CASH,40766,2,90,59.25
24,1,2014,Cash On Delivery,921698,CASH,30265,2,106,68.91
24,1,2014,Cash On Delivery,921698,CASH,10106,2,118,69.09
24,1,2014,Cash On Delivery,921698,CASH,40931,2,126,82.87
24,1,2014,Cash On Delivery,921698,CASH,10252,2,136,81.61
24,1,2014,Cash On Delivery,921698,CASH,44240,3,159,101.9
24,1,2014,Cash On Delivery,921698,CASH,40914,3,165,101.11
24,1,2014,Cash On Delivery,921698,CASH,44237,5,175,112.04
24,1,2014,Cash On Delivery,921698,CASH,40911,5,185,114.66
24,1,2014,Cash On Delivery,921698,CASH,44238,5,190,130.73
24,1,2014,Cash On Delivery,921698,CASH,40912,5,200,134.45
24,1,2014,Cash On Delivery,921698,CASH,45150,40,200,94.02
24,1,2014,Cash On Delivery,921698,CASH,44241,5,310,209.32
24,1,2014,Cash On Delivery,921698,CASH,43621,25,775,571.26
25,1,2014,Cash On Delivery,921699,CASH,44141,4,6,3.25
25,1,2014,Cash On Delivery,921699,CASH,44643,0,9,2.66
25,1,2014,Cash On Delivery,921699,CASH,43621,5,149,114.25
27,1,2014,Cash On Delivery,921700,CASH,45089,1,6.5,1.74
27,1,2014,Cash On Delivery,921701,CASH,45089,46,299,79.83
28,1,2014,Cash On Delivery,921702,CASH,45534,4,520,155.5
29,1,2014,Cash On Delivery,921703,CASH,40476,4,112,82.8
29,1,2014,Cash On Delivery,921703,CASH,43621,15,447,342.76
29,1,2014,Cash On Delivery,921704,CASH,44237,2,80,44.82
29,1,2014,Cash On Delivery,921704,CASH,44238,2,86,52.29
4,2,2014,Cash On Delivery,921705,CASH,40861,4,40,23.68
4,2,2014,Cash On Delivery,921705,CASH,43544,4,60,35.83
4,2,2014,Cash On Delivery,921705,CASH,44018,3,162,92.26
4,2,2014,Cash On Delivery,921705,CASH,43621,39,1162.2,891.17
7,2,2014,Cash On Delivery,921706,CASH,45534,2,260,77.75
10,2,2014,Cash On Delivery,921707,CASH,46497,5,1584,1086.8
12,2,2014,Cash On Delivery,921708,CASH,44141,6,9,4.87
13,2,2014,Cash On Delivery,921709,CASH,46498,5,1897.5,1259.72
14,2,2014,Cash On Delivery,921710,CASH,45852,100,310,76.49
13,2,2014,Cash On Delivery,921711,CASH,45443,2,16,5.98
14,2,2014,Cash On Delivery,921712,CASH,44643,0,10,5.32
14,2,2014,Cash On Delivery,921712,CASH,44884,5,20,7.03
14,2,2014,Cash On Delivery,921712,CASH,43621,37,1102.6,845.47
17,2,2014,Cash On Delivery,921713,CASH,43544,2,30,17.92
17,2,2014,Cash On Delivery,921714,CASH,10514,1,400,175.68
19,2,2014,Cash On Delivery,921715,CASH,30262,240,1263,892.45
19,2,2014,Cash On Delivery,921716,CASH,45128,2,10,4.78
19,2,2014,Cash On Delivery,921716,CASH,10379,3,21,15.76
19,2,2014,Cash On Delivery,921716,CASH,43544,2,23,17.92
24,2,2014,Cash On Delivery,921717,CASH,45934,60,336.64,231.53
27,2,2014,Cash On Delivery,921718,CASH,45852,140,448,107.08
27,2,2014,Cash On Delivery,921719,CASH,43501,1,55,30.7
3,3,2014,Cash On Delivery,921720,CASH,45934,60,336,231.09
3,3,2014,Cash On Delivery,921721,CASH,46491,2,300,143.72
3,3,2014,Cash On Delivery,921722,CASH,10269,1,190,116.92
3,3,2014,Cash On Delivery,921723,CASH,40356,20,102,68.89
5,3,2014,Cash On Delivery,921724,CASH,45932,2,106.26,70.84
6,3,2014,Cash On Delivery,921725,CASH,46195,7,6.3,4.79
6,3,2014,Cash On Delivery,921725,CASH,10211,8,7.2,5.56
6,3,2014,Cash On Delivery,921725,CASH,40860,8,47.08,27.26
6,3,2014,Cash On Delivery,921725,CASH,45028,5,49.5,36.88
6,3,2014,Cash On Delivery,921726,CASH,40071,100,480,344.62
6,3,2014,Cash On Delivery,921727,CASH,10211,4,4,2.78
6,3,2014,Cash On Delivery,921727,CASH,40356,3,13.8,10.33
6,3,2014,Cash On Delivery,921727,CASH,40860,5,29.48,17.04
6,3,2014,Cash On Delivery,921727,CASH,44076,6,267,222.96
7,3,2014,Cash On Delivery,921728,CASH,45071,10,155,111.88
8,3,2014,Cash On Delivery,921729,CASH,44169,100,1900,1220.14
10,3,2014,Cash On Delivery,921730,CASH,45536,1,120,34.82
11,3,2014,Cash On Delivery,921731,CASH,30193,3,33,26.21
11,3,2014,Cash On Delivery,921731,CASH,10269,1,160,116.92
12,3,2014,Cash On Delivery,921732,CASH,30193,1,11,8.53
12,3,2014,Cash On Delivery,921732,CASH,45537,1,120,29.57
13,3,2014,Cash On Delivery,921733,CASH,45443,1,8,2.99
13,3,2014,Cash On Delivery,921733,CASH,40726,4,44,30.26
13,3,2014,Cash On Delivery,921733,CASH,45934,10,46.44,37.85
13,3,2014,Cash On Delivery,921733,CASH,44781,4,440,249.62
13,3,2014,Cash On Delivery,921734,CASH,44239,5,215,149.52
13,3,2014,Cash On Delivery,921734,CASH,40913,5,225,149.19
13,3,2014,Cash On Delivery,921734,CASH,40914,5,275,168.52
13,3,2014,Cash On Delivery,921734,CASH,44241,5,310,209.32
13,3,2014,Cash On Delivery,921734,CASH,44904,5,355,239.86
13,3,2014,Cash On Delivery,921734,CASH,44240,10,530,339.66
13,3,2014,Cash On Delivery,921734,CASH,40931,10,630,414.34
14,3,2014,Cash On Delivery,921735,CASH,45932,2,86.4,70.4
14,3,2014,Cash On Delivery,921735,CASH,46495,2,424.98,309.95
14,3,2014,Cash On Delivery,921736,CASH,45934,2,14,7.79
17,3,2014,Cash On Delivery,921737,CASH,45537,1,120,29.57
17,3,2014,Cash On Delivery,921738,CASH,43544,2,22,17.92
17,3,2014,Cash On Delivery,921739,CASH,40724,2,7,5.49
17,3,2014,Cash On Delivery,921739,CASH,43544,2,20,17.92
17,3,2014,Cash On Delivery,921739,CASH,44489,1,25,17.36
19,3,2014,Cash On Delivery,921740,CASH,44169,100,1900,1220.14
20,3,2014,Cash On Delivery,921741,CASH,10313,30,45,28.89
21,3,2014,Cash On Delivery,921742,CASH,45028,2,16.28,14.75
21,3,2014,Cash On Delivery,921742,CASH,45934,8,60,31.1
21,3,2014,Cash On Delivery,921743,CASH,45549,1,250,124.53
22,3,2014,Cash On Delivery,921744,CASH,46507,1,350,165.83
27,3,2014,Cash On Delivery,921745,CASH,43630,1,90,58.88
28,3,2014,Cash On Delivery,921746,CASH,45089,50,325,86.78
28,3,2014,Cash On Delivery,921747,CASH,45846,2,160,55.17
28,3,2014,Cash On Delivery,921748,CASH,43544,3,75,26.87
29,3,2014,Cash On Delivery,921749,CASH,45983,1,308.4,177.23
31,3,2014,Cash On Delivery,921750,CASH,40070,1,45,11.21
1,4,2014,Cash On Delivery,921751,CASH,10313,50,75,48.16
1,4,2014,Cash On Delivery,921752,CASH,41968,1,399,340.67
3,4,2014,Cash On Delivery,921753,CASH,44076,1,50,37.16
8,4,2014,Cash On Delivery,921754,CASH,41303,1,7,2.85
8,4,2014,Cash On Delivery,921754,CASH,40356,3,24,10.39
8,4,2014,Cash On Delivery,921754,CASH,43544,2,46,17.92
8,4,2014,Cash On Delivery,921754,CASH,40913,1,55,29.84
8,4,2014,Cash On Delivery,921754,CASH,41486,4,448,348.71
8,4,2014,Cash On Delivery,921755,CASH,10025,2,24,8.83
8,4,2014,Cash On Delivery,921756,CASH,43838,2,77,48.6
8,4,2014,Cash On Delivery,921757,CASH,45128,10,60,21.65
8,4,2014,Cash On Delivery,921758,CASH,40913,1,60,29.84
12,4,2014,Cash On Delivery,921759,CASH,10025,1,13,4.41
12,4,2014,Cash On Delivery,921760,CASH,44544,0,30,13.81
14,4,2014,Cash On Delivery,921761,CASH,45934,80,458.24,311.37
14,4,2014,Cash On Delivery,921762,CASH,45929,4,86.4,59.69
16,4,2014,Cash On Delivery,921763,CASH,45934,120,668.8,460.53
19,4,2014,Cash On Delivery,921764,CASH,40917,2,68,38.86
19,4,2014,Cash On Delivery,921764,CASH,44237,2,70,44.82
19,4,2014,Cash On Delivery,921764,CASH,40911,2,74,45.86
19,4,2014,Cash On Delivery,921764,CASH,44895,3,93,56.81
19,4,2014,Cash On Delivery,921764,CASH,44239,3,129,89.71
19,4,2014,Cash On Delivery,921764,CASH,40913,3,135,89.51
19,4,2014,Cash On Delivery,921764,CASH,44238,5,190,130.73
19,4,2014,Cash On Delivery,921764,CASH,40912,5,200,134.45
19,4,2014,Cash On Delivery,921764,CASH,40191,100,260,168
19,4,2014,Cash On Delivery,921764,CASH,40914,5,275,168.53
19,4,2014,Cash On Delivery,921764,CASH,44241,5,310,209.32
19,4,2014,Cash On Delivery,921764,CASH,43621,50,1550,1142.52
21,4,2014,Cash On Delivery,921765,CASH,44239,3,171,89.71
24,4,2014,Cash On Delivery,921766,CASH,40804,10,12,6.48
24,4,2014,Cash On Delivery,921766,CASH,45089,10,35,17.35
24,4,2014,Cash On Delivery,921767,CASH,45103,21,37.8,28.41
24,4,2014,Cash On Delivery,921767,CASH,44953,30,105,42.42
28,4,2014,Cash On Delivery,921768,CASH,10625,2,18,7.43
29,4,2014,Cash On Delivery,921769,CASH,40804,10,12,6.48
2,5,2014,Cash On Delivery,921770,CASH,10031,5,165,63.97
2,5,2014,Cash On Delivery,921770,CASH,44286,25,275,127.65
6,5,2014,Cash On Delivery,921771,CASH,43544,3,39,26.87
6,5,2014,Cash On Delivery,921771,CASH,45934,10,46.71,38.25
6,5,2014,Cash On Delivery,921772,CASH,40476,1,45,22.94
6,5,2014,Cash On Delivery,921773,CASH,43279,3,30,20.71
7,5,2014,Cash On Delivery,921774,CASH,45934,40,224.64,155.22
9,5,2014,Cash On Delivery,921775,CASH,10625,1,12,3.72
9,5,2014,Cash On Delivery,921776,CASH,45928,60,981,737.97
13,5,2014,Cash On Delivery,921777,CASH,45696,1,40,29.06
14,5,2014,Cash On Delivery,921778,CASH,43544,1,15,8.96
14,5,2014,Cash On Delivery,921778,CASH,44895,1,35,18.94
14,5,2014,Cash On Delivery,921779,CASH,10625,1,10,3.72
14,5,2014,Cash On Delivery,921779,CASH,41303,2,10,5.7
19,5,2014,Cash On Delivery,921780,CASH,40621,1,10,5.44
19,5,2014,Cash On Delivery,921780,CASH,41943,10,12,5.8
22,5,2014,Cash On Delivery,921781,CASH,44643,0,170,106.35
26,5,2014,Cash On Delivery,921782,CASH,41943,5,5,2.95
26,5,2014,Cash On Delivery,921783,CASH,45913,2,8.6,5.39
26,5,2014,Cash On Delivery,921783,CASH,40725,1,13,4.74
26,5,2014,Cash On Delivery,921783,CASH,10151,1,28,17.26
26,5,2014,Cash On Delivery,921783,CASH,44781,1,93,62.4
27,5,2014,Cash On Delivery,921784,CASH,45533,1,120,41.68
27,5,2014,Cash On Delivery,921785,CASH,45934,200,1062,779.53
2,6,2014,Cash On Delivery,921786,CASH,10211,2,1.86,1.39
2,6,2014,Cash On Delivery,921786,CASH,40476,1,30,22.94
2,6,2014,Cash On Delivery,921786,CASH,10152,1,40,24
2,6,2014,Cash On Delivery,921786,CASH,44240,1,54,33.97
2,6,2014,Cash On Delivery,921786,CASH,43970,6,196.2,142.54
2,6,2014,Cash On Delivery,921786,CASH,45938,4,448.6,346.52
2,6,2014,Cash On Delivery,921787,CASH,45547,1,300,82.32
3,6,2014,Cash On Delivery,921788,CASH,43621,1,32.7,22.85
4,6,2014,Cash On Delivery,921789,CASH,45028,1,14,7.38
4,6,2014,Cash On Delivery,921789,CASH,43839,2,20,17.15
4,6,2014,Cash On Delivery,921789,CASH,40476,1,30,22.94
4,6,2014,Cash On Delivery,921789,CASH,40912,1,46.8,26.89
4,6,2014,Cash On Delivery,921789,CASH,40914,1,56,33.71
4,6,2014,Cash On Delivery,921790,CASH,44544,0,50.4,27.62
5,6,2014,Cash On Delivery,921791,CASH,45533,1,120,41.68
6,6,2014,Cash On Delivery,921792,CASH,46357,1,204,89.63
6,6,2014,Cash On Delivery,921793,CASH,45934,500,2284.88,1944.89
6,6,2014,Cash On Delivery,921794,CASH,40621,2,18.7,10.88
7,6,2014,Cash On Delivery,921795,CASH,41303,2,14,5.7
9,6,2014,Cash On Delivery,921796,CASH,40050,1,130,79.22
9,6,2014,Cash On Delivery,921797,CASH,46205,40,30,23.47
11,6,2014,Cash On Delivery,921798,CASH,45927,6,69.76,48.12
11,6,2014,Cash On Delivery,921798,CASH,45929,12,289.28,197.92
11,6,2014,Cash On Delivery,921799,CASH,40050,1,130,79.22
11,6,2014,Cash On Delivery,921800,CASH,40195,0,35,12.67
11,6,2014,Cash On Delivery,921800,CASH,43544,4,70,35.83
16,6,2014,Cash On Delivery,921801,CASH,10211,1,1,0.69
16,6,2014,Cash On Delivery,921801,CASH,44629,1,2,0.79
16,6,2014,Cash On Delivery,921801,CASH,44494,2,37,24.71
16,6,2014,Cash On Delivery,921801,CASH,40913,2,100,59.67
18,6,2014,Cash On Delivery,921802,CASH,40804,2,2.8,1.3
18,6,2014,Cash On Delivery,921802,CASH,40917,1,40,19.43
18,6,2014,Cash On Delivery,921802,CASH,43544,4,60,35.83
23,6,2014,Cash On Delivery,921803,CASH,43839,1,25,9.91
23,6,2014,Cash On Delivery,921803,CASH,45538,2,240,121.64
24,6,2014,Cash On Delivery,921804,CASH,44169,10,190,122.01
26,6,2014,Cash On Delivery,921805,CASH,44807,5,8,3.32
1,7,2014,Cash On Delivery,921806,CASH,40889,1,16,9.7
1,7,2014,Cash On Delivery,921806,CASH,45089,3,18,5.21
1,7,2014,Cash On Delivery,921806,CASH,40476,1,32,23.29
1,7,2014,Cash On Delivery,921806,CASH,44643,0,36,21.27
1,7,2014,Cash On Delivery,921806,CASH,44544,0,70,46.03
1,7,2014,Cash On Delivery,921807,CASH,45535,1,120,38.92
2,7,2014,Cash On Delivery,921808,CASH,43731,1,8,1.92
2,7,2014,Cash On Delivery,921809,CASH,45089,2,10,3.47
4,7,2014,Cash On Delivery,921810,CASH,10025,1,10,4.41
4,7,2014,Cash On Delivery,921810,CASH,40476,1,32,23.29
4,7,2014,Cash On Delivery,921811,CASH,44807,4,8,2.65
9,7,2014,Cash On Delivery,921812,CASH,44169,5,100,61.01
10,7,2014,Cash On Delivery,921813,CASH,43544,2,26,17.92
10,7,2014,Cash On Delivery,921813,CASH,44018,1,50,30.75
11,7,2014,Cash On Delivery,921814,CASH,46208,2,3.6,1.43
11,7,2014,Cash On Delivery,921814,CASH,41696,2,3.6,1.2
11,7,2014,Cash On Delivery,921815,CASH,44895,3,93,56.81
11,7,2014,Cash On Delivery,921815,CASH,40917,3,102,58.3
11,7,2014,Cash On Delivery,921815,CASH,44237,3,105,67.23
11,7,2014,Cash On Delivery,921815,CASH,40911,3,111,68.79
11,7,2014,Cash On Delivery,921815,CASH,44238,3,114,78.44
11,7,2014,Cash On Delivery,921815,CASH,40912,3,120,80.67
11,7,2014,Cash On Delivery,921815,CASH,44239,3,129,89.71
11,7,2014,Cash On Delivery,921815,CASH,44241,3,186,125.59
11,7,2014,Cash On Delivery,921815,CASH,40931,3,189,124.3
11,7,2014,Cash On Delivery,921815,CASH,44240,10,530,339.67
11,7,2014,Cash On Delivery,921815,CASH,40914,10,550,337.05
11,7,2014,Cash On Delivery,921816,CASH,10211,2,2.4,1.39
11,7,2014,Cash On Delivery,921816,CASH,10210,2,2.4,1.45
11,7,2014,Cash On Delivery,921816,CASH,40804,4,6,2.59
11,7,2014,Cash On Delivery,921816,CASH,40157,1,10,3.71
11,7,2014,Cash On Delivery,921816,CASH,43544,3,90,26.87
12,7,2014,Cash On Delivery,921817,CASH,45552,1,300,134.68
12,7,2014,Cash On Delivery,921818,CASH,30239,1,12,6.27
19,7,2014,Cash On Delivery,921819,CASH,43544,2,32,17.92
23,7,2014,Cash On Delivery,921820,CASH,45546,1,280,87.31
23,7,2014,Cash On Delivery,921821,CASH,40050,5,528,406.92
24,7,2014,Cash On Delivery,921822,CASH,30347,3,450,232.06
25,7,2014,Cash On Delivery,921823,CASH,40050,5,528,406.92
25,7,2014,Cash On Delivery,921824,CASH,30347,3,450,232.06
25,7,2014,Cash On Delivery,921825,CASH,30347,3,450,232.06
1,8,2014,Cash On Delivery,921826,CASH,43698,4,24,12.42
1,8,2014,Cash On Delivery,921826,CASH,45934,10,54,38.79
1,8,2014,Cash On Delivery,921826,CASH,40931,1,80,41.43
2,8,2014,Cash On Delivery,921827,CASH,43448,2,24,12.81
4,8,2014,Cash On Delivery,921828,CASH,30262,90,518.72,327.86
6,8,2014,Cash On Delivery,921829,CASH,45535,6,750,233.89
6,8,2014,Cash On Delivery,921830,CASH,45089,3,19.5,5.21
6,8,2014,Cash On Delivery,921831,CASH,45535,1,125,38.98
11,8,2014,Cash On Delivery,921832,CASH,10031,10,330,127.94
11,8,2014,Cash On Delivery,921832,CASH,44286,30,330,51.63
11,8,2014,Cash On Delivery,921833,CASH,44169,1,20,12.2
11,8,2014,Cash On Delivery,921833,CASH,30054,1,137.52,93.97
13,8,2014,Cash On Delivery,921834,CASH,40476,2,70,46.57
13,8,2014,Cash On Delivery,921834,CASH,30101,3,81,49.64
14,8,2014,Cash On Delivery,921835,CASH,45934,120,686.08,465.43
15,8,2014,Cash On Delivery,921836,CASH,45535,1,150,38.98
16,8,2014,Cash On Delivery,921837,CASH,44895,3,93,57.77
16,8,2014,Cash On Delivery,921837,CASH,44237,3,105,67.23
16,8,2014,Cash On Delivery,921837,CASH,44238,3,114,78.44
16,8,2014,Cash On Delivery,921837,CASH,40914,3,177,108.52
16,8,2014,Cash On Delivery,921837,CASH,44239,5,215,149.52
16,8,2014,Cash On Delivery,921837,CASH,40931,4,252,176.98
16,8,2014,Cash On Delivery,921837,CASH,44241,8,496,334.92
19,8,2014,Cash On Delivery,921838,CASH,45443,6,48,17.94
19,8,2014,Cash On Delivery,921839,CASH,10341,48,176.64,106.3
20,8,2014,Cash On Delivery,921840,CASH,46148,1,8,3.48
20,8,2014,Cash On Delivery,921840,CASH,40931,1,80,44.25
